,Date,10.00 am - 11.00 am,,11.00 am - 12 noon,,12.15 pm - 1.15 pm,
,29-Jun-2020,27,,"5,15,27,41",,"5,9,27",
,30-Jun-2020,14.27,,27,,5.27,
,1-Jul-2020,Nil,,Nil,,Nil,
,2-Jul-2020,14,,5.8,,"5, 28,41",
,3-Jul-2020,Nil,,29,,"5,28,29,33,44",
,4-Jul-2020,17.28,,17.28,,17.28,

,6-Jul-2020,"20,29,38",,"24,30,38",,"5,29,30",
,7-Jul-2020,"14,16,22,30",,17.30,,"17,22,30",
,8-Jul-2020,Nil,,41,,NIL,
,9-Jul-2020,5.28,,Nil,,47,
,10-Jul-2020,NIL,,NIL,,nil,
,11-Jul-2020,"1,5,8,14,21,22,28,44",,"5,8,9,19,21,
22,34",,"1,5,8,9,14,17,21,22,
34,44.",

,13-Jul-2020,Nil,,"5,27,29",,"5,19,28,29",
,14-Jul-2020,"6,9,14,29,40",,"5,9,18,28",,"5,9,14,24,28",
,15-Jul-2020,"10,14, 37, 44",,"10,14,44",,"5,10,14,28,29,37,44",
,16-Jul-2020,"14,30,33,41",,"5,14,21,28 ,
30, 40",,"1, 14, 19, 21, 28,
30, 40 ,41",
,17-Jul-2020,"13,28,37,41",,"5,17,28,37",,5.17,
,18-Jul-2020,"2,5,14,23,28,32,40,44",,"2,14,21,28,4
3,44",,"2,5,14,21,28,   44",

,20-Jul-2020,"7,10,13,14,15,17,28,3
0,32,44,47",,"5,7,15,28,30
,41,47",,"15,17,28,30,38,41,4
7",
,21-Jul-2020,"10,26,31,40,41",,"10,27,31,40",,"26,31,40",
,22-Jul-2020,"10, 28, 29, 40",,10.28,,"9,21,29",
,23-Jul-2020,"1,23,35",,1.5,,"1, 29, 31, 33",
,24-Jul-2020,Nil,,"10,15,21,44",,"5,14,34,41,44,45",
,25-Jul-2020,"2,5,13,14,34,40,41,44,
48",,10.26,,"2,5,14,17,34",

,27-Jul-2020,"14,17,40",,5.17,,"17,28,41",
,28-Jul-2020,"7,14,17,21,28,40",,"1,26,
44",,"5,7,17,21,33",
,29-Jul-2020,"5, 22, 25, 34, 35, 41",,5,,"5,14,17,19,21,26,28
,41,44",
,30-Jul-2020,"13,18,21,27,28,32,35,
38",,"8,14,28,41",,"8, 14,28, 32, 38, 41",
,31-Jul-2020,"18,41,44,48",,"1,14,41,44",,"2,4,9,14,32,39,41,4
4",








